key,a,b,c,d,e,f,g,h,i
15_y,9.663333326540976e-05,3.3025641012383886e-06,-1.000847387845843e-06,3.9847873008077415e-08,-7.050621071058477e-10,6.446139003310519e-12,-2.9655834747717444e-14,5.4249483940146004e-17,0.8610536990094301
15_z,0.0055844507686677375,0.00046576909778309466,-4.835243708564406e-05,1.54422909465366e-06,-2.494399701638062e-08,2.2148133024567073e-10,-1.0247494816562448e-12,1.922043464367217e-15,0.12027348215800855
16_x,-0.0008740596122319383,5.937475406296972e-05,-4.252428324287509e-07,-4.720775208348865e-08,1.3405009957500632e-09,-1.4851847914683056e-11,7.555338743439405e-14,-1.4672399152685124e-16,0.44924246373008336
16_y,-0.0004161316676789059,2.91349432788728e-05,-1.4291917357767517e-06,3.877855461713621e-08,-5.858830583623977e-10,4.960698540664546e-12,-2.1945929285860017e-14,3.9327009039721135e-17,0.8733969842406959
16_z,0.006627552813856219,0.0003349745807342332,-4.55870088959718e-05,1.5593930153439907e-06,-2.6565561688926135e-08,2.4772661389151325e-10,-1.1970297279230007e-12,2.329523693977121e-15,0.1349135741119554
17_x,0.0014510634527359174,-0.0003008668200997984,1.8630869937305507e-05,-5.237391252944124e-07,7.784060214622358e-09,-6.339169110254695e-11,2.6733409822911917e-13,-4.564485710663887e-16,0.6845144132113398
17_y,7.604085133176443e-05,-1.6200981535137728e-05,1.4123190780971123e-06,-5.231227532455105e-08,9.621952819925066e-10,-9.26883139131259e-12,4.4739655920712334e-14,-8.532251330351378e-17,0.8887662649053362
17_z,0.00981680397557567,-4.579887601847618e-05,-2.9075858633690507e-05,1.3000328996033647e-06,-2.4720831882017105e-08,2.3917468665266173e-10,-1.1527702498786158e-12,2.194241382426743e-15,-0.12041890738054135
18_x,-0.0019323695636172438,0.00017746330127481897,-6.484523615912641e-06,1.1451271354981178e-07,-1.0511288995715801e-09,4.831425764755258e-12,-8.704615438526513e-15,-5.324775628018489e-19,0.37776076305926554
18_y,0.00028602752876290207,-5.908414669418856e-05,3.690202850589973e-06,-1.0621846953684621e-07,1.6013163969847965e-09,-1.3087786463580744e-11,5.502412941539641e-14,-9.340961585177164e-17,0.9104424630125243
18_z,0.012183581635060963,-0.0003067132540309244,-2.12797331168644e-05,1.2213751091615634e-06,-2.5585897718804155e-08,2.6478577160904455e-10,-1.347676630010368e-12,2.6864964572404163e-15,-0.11215013061149404
